year,rank,song,artist,gender
2006,100,For You I Will (Confidence),Teddy Geiger,nb
2006,66,Smack That,Akon Featuring Eminem,man
2006,82,Hate Me,Blue October,man
2006,71,Who Says You Can't Go Home,Bon Jovi,man
2006,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,man
2006,73,Touch It,Busta Rhymes,man
2006,8,Ridin',Chamillionaire Featuring Krayzie Bone,man
2006,63,Pullin' Me Back,Chingy Featuring Tyrese,man
2006,16,Run It!,Chris Brown,man
2006,44,Yo (Excuse Me Miss),Chris Brown,man
2006,86,Say Goodbye,Chris Brown,man
2006,69,Gimme That,Chris Brown Featuring Lil Wayne,man
2006,46,Laffy Taffy,D4L,man
2006,74,Rompe,Daddy Yankee,man
2006,1,Bad Day,Daniel Powter,man
2006,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,man
2006,90,When I'm Gone,Eminem,man
2006,62,Shake That,Eminem Featuring Nate Dogg,man
2006,33,"Dance, Dance",Fall Out Boy,man
2006,68,"Sugar, We're Goin' Down",Fall Out Boy,man
2006,7,Crazy,Gnarls Barkley,man
2006,30,Lips Of An Angel,Hinder,man
2006,4,You're Beautiful,James Blunt,man
2006,60,Unpredictable,Jamie Foxx Featuring Ludacris,man
2006,65,Chain Hang Low,Jibbs,man
2006,87,Waiting On The World To Change,John Mayer,man
2006,58,There It Go! (The Whistle Song),Juelz Santana,man
2006,9,SexyBack,Justin Timberlake,man
2006,61,My Love,Justin Timberlake Featuring T.I.,man
2006,34,Gold Digger,Kanye West Featuring Jamie Foxx,man
2006,83,You And Me,Lifehouse,man
2006,24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,man
2006,35,Money Maker,Ludacris Featuring Pharrell,man
2006,17,So Sick,Ne-Yo,man
2006,51,Sexy Love,Ne-Yo,man
2006,94,When You're Mad,Ne-Yo,man
2006,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",man
2006,54,What's Left Of Me,Nick Lachey,man
2006,38,Photograph,Nickelback,man
2006,49,Savin' Me,Nickelback,man
2006,53,Far Away,Nickelback,man
2006,20,I Write Sins Not Tragedies,Panic! At The Disco,man
2006,26,What Hurts The Most,Rascal Flatts,man
