year,rank,song,artist,gender,lyrics,femflag,mascflag,loveflag,genderref,femphases,mascphases,lovephases
2006,100,For You I Will (Confidence),Teddy Geiger,nb, im wandering the streets in a world underneath it all nothing seems to be nothing tastes as sweet as what i cant have like you and the way that youre twisting your hair round your finger tonight im not afraid to tell you what i feel about you im gonna muster every ounce of confidence i have and cannonball into the water im gonna muster every ounce of confidence i have for you i will for you i will forgive me if i ststutter from all the clutter in my head cause i could fall asleep in those eyes like a water bed do i seem familiar i crossed you in hallways a thousand times no more camouflage i want to be exposed and not be afraid to fall im gonna muster every ounce of confidence i have and cannonball into the water im gonna muster every ounce of confidence i have for you i will for you i will always want what you cant have but i got to try im gonna muster every ounce of confidence i have for you i will for you i will for you i will if i could dim the lights in the mall and create a mood i would and shout out your name so it echoes in every room i would thats what id do thats what id do to get through to you im gonna muster every ounce of confidence i have and cannonball into the water im gonna muster every ounce of confidence i have for you i will for you i will always want what you cant have but i got to try im gonna muster every ounce of confidence i have for you i will for you i will for you i will ,0,0,0,No reference,,,
2006,66,Smack That,Akon Featuring Eminem,man, shady konvict upfront akon slim shady i see the one could she be that lady i feel you creepin i can see you from my shadow wanna jump up in my lamborghini gallardo maybe go to my place and just kick it like tae bo and possibly bend you over look back and watch me smack that all on the floor smack that give me some more smack that till you get sore smack that ohohohohoh smack that all on the floor smack that give me some more smack that till you get sore smack that ohohohohoh upfront style ready to attack now pull in the parking lot slow with the lac down konvicts got the whole thing packed now step in the club now and wardrobe intact now i feel it down and cracked now ooh i see it dull and backed now im gonna call her than i put the mack down money no problem pocket full of that now i feel you creeping i can see you from my shadow wanna jump up in my lamborghini gallardo maybe go to my place and just kick it like tae bo and possibly bend you over look back and watch me smack that all on the floor smack that give me some more smack that till you get sore smack that ohoooh smack that all on the floor smack that give me some more smack that till you get sore smack that ohoooh ooh looks like another club banger they better hang on when they throw this thang on get a lil drink on they gonna flip for this akon shit you can bank on it pedicure manicure kittycat claws the way she climbs up and down them poles looking like one of them puttycat dolls tryin to hold my woodie back through my drawers steps upstage didnt think i saw creeps up behind me shes like youre im like yeah i know lets cut to the chase no time to waste back to my place plus from the club to the crib its like a mile away or more like a palace shall i say and plus i got a pal if your gal is game in fact he is the one singing the song thats playin akon i feel you creeping i can you see from my shadow wanna jump up in my lamborghini gallardo maybe go to my place and just kick it like tae bo and possibly bend you over look back and watch me smack that all on the floor smack that give me some more smack that till you get sore smack that ohoooh smack that all on the floor smack that give me some more smack that till you get sore smack that ohoooh eminem is rollin d and em rollin bo and all marvelous them rollin women just hoein big booty rollin soon ill be all in them and throwing d hitting no less than three block wheel style like whee girl i can tell you want me cause lately i feel you creeping i can see you from my shadow wanna jump up in my lamborghini gallardo maybe go to my place and just kick it like tae bo and possibly bend you over look back and watch me smack that all on the floor smack that give me some more smack that till you get sore smack that ohoooh smack that all on the floor smack that give me some more smack that till you get sore smack that ohoooh ,1,1,1,Masc & fem reference,"three block wheel style like whee girl i can tell you want me, bo and all marvelous them rollin women just hoein big booty rollin soon, pedicure manicure kittycat claws the way she climbs up and down them poles, shady i see the one could she be that lady i feel you, and backed now im gonna call her than i put the mack down, i saw creeps up behind me shes like youre im like yeah i",your gal is game in fact he is the one singing the song,them rollin women just hoein big booty rollin soon ill be all in
2006,82,Hate Me,Blue October,man, i have to block out thoughts of you so i dont lose my head theyre crawling like a cockroach leaving babies in my bed dropping little reels of tape to remind me that im alone playing movies in my head that make a porno feel like home theres a burning in my pride a nervous bleeding in my brain an ounce of peace is all i want for you will you never call again and will you never say that you love me just to put it in my face and will you never try to reach me it is i that wanted space hate me today hate me tomorrow hate me for all the things i didnt do for you hate me in ways yeah ways hard to swallow hate me so you can finally see whats good for you im sober now for three whole months its one accomplishment that you helped me with the one thing that always tore us apart is the one thing i wont touch again in a sick way i want to thank you for holding my head up late at night while i was busy waging wars on myself you were trying to stop the fight you never doubted my warped opinions on things like suicidal hate you made me compliment myself when it was way too hard to take so ill drive so fucking far away that i never cross your mind and do whatever it takes in your heart to leave me behind hate me today hate me tomorrow hate me for all the things i didnt do for you hate me in ways yeah ways hard to swallow hate me so you can finally see whats good for you and with a sad heart i say bye to you and wave kicking shadows on the street for every mistake that i had made and like a baby boy i never was a man until i saw your blue eyes crying and i held your face in my hand and then i fell down yelling make it go away just make a smile come back and shine just like it used to be and then she whispered how can you do this to me hate me today hate me tomorrow hate me for all the things i didnt do for you hate me in ways yeah ways hard to swallow hate me so you can finally see whats good for you for you for you for you ,1,1,1,Masc & fem reference,it used to be and then she whispered how can you do this,had made and like a baby boy i never was a man until,"is the one thing i wont touch again in a sick way i, for you and with a sad heart i say bye to you and, i had made and like a baby boy i never was a man, will you never say that you love me just to put it in, do whatever it takes in your heart to leave me behind hate me"
2006,71,Who Says You Can't Go Home,Bon Jovi,man, i spent twenty years trying to get out of this place i was looking for something i couldnt replace i was running away from the only thing ive ever known like a blind dog without a bone i was a gypsy lost in the twilight zone i hijacked a rainbow and crashed into a pot of gold i been there done that but i aint looking back on the seeds ive sown saving dimes spending too much time on the telephone who says you cant go home who says you cant go home theres only one place they call me one of their own just a hometown boy born a rolling stone who says you cant go home who says you cant go back i been all around the world and as a matter of fact theres only one place left i wanna go who says you cant go home its alright its alright its alright its alright its alright i went as far as i could i tried to find a new face there isnt one of these lines that i would erase i lived a million miles of memories on that road with every step i take i know that im not alone you take the home from the boy but not the boy from his home these are my streets the only life ive ever known who says you cant go home who says you cant go home theres only one place they call me one of their own just a hometown boy born a rolling stone who says you cant go home who says you cant go back been all around the world and as a matter of fact theres only one place left i wanna go who says you cant go home it doesnt matter where you are it doesnt matter where you go if its a million miles away or just a mile up the road take it in take it with you when you go who says you cant go home who says you cant go back been all around the world and as a matter of fact theres only one place left i wanna go who says you cant go home its alright its alright its alright its alright its alright who says you cant go home its alright its alright its alright its alright its alright who says you cant go home its alright its alright its alright its alright its alright who says you cant go home ,0,1,0,Same-gender,,"you take the home from the boy but not the boy from his, of their own just a hometown boy born a rolling stone who says",
2006,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,man, colipark bubba sparxxx booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere rockin everywhere rockin everywhere i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do get it ripe get it right get it tight get it ripe get it right get it tight get it ripe get it right get it tight get it ripe get it right get it tight girl i dont need you but you need me take it off let if flop shake it freely and i dont tell stories i let em tell theyself and you aint gotta sell sex girl it sells itself like nothing else yeah im a country boy but that big city bottom fill me up with joy aint life grand lifes grand livin up daddy here go da whisper song baby this is us ready put it on me enthusiastically what ever it is that you do you do it admirably and i aint choose it that thang chose me its bubba and ying yang all the way in this thang booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere rockin everywhere rockin everywhere i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do get it ripe get it right get it tight get it ripe get it right get it tight get it ripe get it right get it tight get it ripe get it right get it tight quarter to twelve and we just getting in bubba gon make ya spark wit da ying yang twins sippin on patron blong blong blong shawdy in a thong whom whom whom ass get to jiggling mother fucking wiggling keep that thang shakin like she frost bit shivering ass be delivering all type of flashes cashes got these hoes shaking that molasses shh let me whisper in your ear get your self together go and buy some new gear do something with your hair den hit da club shake ya ass and da brothers gonna sho some love do that move ya did just a minute ago i guarantee youll make all da dough so go on do ya thing baby work what you got to get what you want make that money dont let it make you booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere rockin everywhere rockin everywhere i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do get it ripe get it right get it tight get it ripe get it right get it tight get it ripe get it right get it tight get it ripe get it right get it tight hi there how are things i once was a breast man now it seems ever since i had the pleasure of getting you together your chest is just whatever i found the buried treasure yes maam heres the plan meet me over yonder ok dont play ill bring the whip whoop you bring your cook book and im a fix that stuff up everything is good good booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere booty booty booty booty rockin everywhere rockin everywhere rockin everywhere i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do i found you ms new booty get it together and bring it back to me hit the playas club for about month or 2 put his hand on it then see what it do ,1,1,1,Masc & fem reference,"and you aint gotta sell sex girl it sells itself like nothing else, get it right get it tight girl i dont need you but you, wiggling keep that thang shakin like she frost bit shivering ass be delivering, type of flashes cashes got these hoes shaking that molasses shh let me","nothing else yeah im a country boy but that big city bottom fill, things i once was a breast man now it seems ever since i, put his hand on it then see what it do","and da brothers gonna sho some love do that move ya did just, theyself and you aint gotta sell sex girl it sells itself like nothing, all the way in this thang booty booty booty booty rockin everywhere booty, everywhere i found you ms new booty get it together and bring it, colipark bubba sparxxx booty booty booty booty rockin everywhere booty, stuff up everything is good good booty booty booty booty rockin everywhere booty, so go on do ya thing baby work what you got to get, do i found you ms new booty get it together and bring it, booty booty booty rockin everywhere booty booty booty booty rockin everywhere rockin everywhere, money dont let it make you booty booty booty booty rockin everywhere booty, colipark bubba sparxxx booty booty booty booty rockin everywhere booty booty booty booty, daddy here go da whisper song baby this is us ready put it"
2006,73,Touch It,Busta Rhymes,man, touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it aiyyo swizz i dont think they ready for this shit hey yo let me take they ass back to the club real quick get low bus who be the king of the sound uh huh busta bus back to just put a lock on a town uh huh lot of my bitches be coming from miles around see they be cumin uh cause they know how the god get down turn it up now you know who holding the throne so gimme the crown huh niggas soluting and trying to give me a pound come on i dont really fuck with you niggas you niggas is clown making the bitches stripping throw they shit on the ground get low bus now thats the way that it goes uh huh when we up in the spot the shit be flooded with hoes come on see we a make it hot the chicks will come out their clothes thats when you get it huh mami already know i suppose turn it up shorty wilding and shorty open she beasting it out for the record huh just a second im freaking it out come on while she trying to touch see i was peeping it out she turned around and was trying to put my dick in her mouth i let her touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it get low bus and as we started got me ringing her bell uh huh when i come i be doing it and doing it well uh huh then i beat up the coochie and be making it swell trying to hide the smell of the sex spraying on the chanel turn it up then they try to walk with a strut so no one could tell how a nigga got in they butt made everything jail now the tickle wild like a nut she blowing my cell come on cant get enough of the kid i put her under my spell get low bus its crowded mami move it along uh huh if you know you bout it then get to removing your thong uh huh to the whip in back of the truck thats where you belong after the yac see the type of raunchy shit they be on turn it up street niggas respect it because my movement is strong come on cause we consistently reppin see my money is long all my bitches is with me see how they singin the song plus how we give you the stick and we be dickin along i let her touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it get low bus the god of the black see that im back uh huh every single time that i drop the shit is a wrap uh huh for the niggas hating the kid im close to strap cause all these bitches wanna come talk to sit on my lap turn it up every time i give you bang shit to knock in your whip nigga always do his thing bitch locking the strip come on lot of mamis is dancing and they shaking they hips after that they get low and put the thing on their lips i let em touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it touch it bring it pay it watch it turn it leave it stop format it ,1,1,1,Masc & fem reference,"know i suppose turn it up shorty wilding and shorty open she beasting, freaking it out come on while she trying to touch see i was, we be dickin along i let her touch it bring it pay it, spot the shit be flooded with hoes come on see we a make, as we started got me ringing her bell uh huh when i come, trying to put my dick in her mouth i let her touch it, enough of the kid i put her under my spell get low bus, the tickle wild like a nut she blowing my cell come on cant",in your whip nigga always do his thing bitch locking the strip come,"come on while she trying to touch see i was peeping it out, is dancing and they shaking they hips after that they get low and, be dickin along i let her touch it bring it pay it watch, and was trying to put my dick in her mouth i let her, it leave it stop format it touch it bring it pay it watch, touch it bring it pay it watch it turn it, on their lips i let em touch it bring it pay it watch, to hide the smell of the sex spraying on the chanel turn it"
2006,8,Ridin',Chamillionaire Featuring Krayzie Bone,man, they see me rollin they hatin patrolling they tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty my music so loud im swangin they hopin that they gonna catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty police think they can see me lean im tint so it aint easy to be seen when you see me ride by they can see the glean and my shine on the deck and the tv screen ride with a new chick she like hold up next to the playstation controller is a full clip and my pistola turn a jacker into a coma girl you aint know im crazy like krayzie bone just tryin to bone aint tryin to have no babies rock clean as hell so i pull in ladies laws on patrolling you know they hate me music turned all the way up until the maximum i can speak for some niggas tryin to jack for some but we packin somethin that we have and um will have a nigga locked up in the maximum security cell im grippin oak music loud and tippin slow twin steady twistin like hit this dough police pull up right behind and its in his throat windows down gotta stop pollution cds change niggas like who is that producing this the playnskills when we out and cruisin got warrants in every city except houston but im still aint losin they see me rollin they hatin patrolling they tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty my music so loud im swangin they hopin that they gonna catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty i been drinkin and smokin holdin shit cause a brother cant focus i gotta get to home fore the po pos scope this big ol excursion swerving all up in the curve man nigga been sippin on that hennessey and the gin again is in again we in the wind doin a hundred while i puff on the blunt and rollin another one up we livin like we aint givin a fuck i got a revolver in my right hand 40 oz on my lap freezing my balls roll a nigga tree green leaves and all comin pretty deep me and my dogs i gotta get back to back streets wanted by the six pound and i got heat glock glock shots to the block we creep creep pop pop hope cops dont see me on a low key with no regards for the law we dodge em like fuck em all but i wont get caught up and brought up on charges for none of yall keep a gun in car and a blunt to spark but well if you want nigga you poppin dark ready or not we bust shots off in the air krayzie bone and chamillionaire they see me rollin they hatin patrolling they tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty my music so loud im swangin they hopin that they gonna catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty do what you thinkin so i tried to let you go turn up a blink of light and i swang it slower a nigga upset for sure cause they think they know that they catchin me with plenty of the drink and dro so they get behind me tryin to check my tags look at my rearview and they smilin thinkin theyll catch me on the wrong well keep tryin cause they denyin is racial profiling houston tx you can check my tags pull me over try to check my slab glove compartment gotta get my cash cause the crooked cops try to come up fast and been a baller that i am i talk to them giving a damn bout not feeling my attitude when they realize i aint even ridin dirty bet youll be leavin with an even madder mood imma laugh at you then imma have to cruise im in number two on some more dj screw you cant arrest me plus you cant sue this a message to the laws tellin them we hate you i cant be touched or tell em that they shoulda known tippin down sittin crooked on my chrome bookin my phone tryin to find a chick i wanna bone like they couldnt stop me im about to pull up at your home and its on they see me rollin they hatin patrolling they tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty my music so loud im swangin they hopin that they gonna catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty they see me rollin they hatin patrolling they tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty my music so loud im swangin they hopin that they gonna catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty tryin to catch me ridin dirty ,1,1,0,Masc & fem reference,"turn a jacker into a coma girl you aint know im crazy like, my phone tryin to find a chick i wanna bone like they couldnt, as hell so i pull in ladies laws on patrolling you know they, tv screen ride with a new chick she like hold up next to","up right behind and its in his throat windows down gotta stop pollution, swerving all up in the curve man nigga been sippin on that hennessey",
2006,63,Pullin' Me Back,Chingy Featuring Tyrese,man, every time i try to leave something keeps pulling me back me back telling me i need you in my life every time i try to go something keeps telling me that me that everything gon be all right every time i try to leave something keeps pulling me back me back telling me i need you in my life it was meant to be you were meant for me so that means we gotta make it work it was all good at first spendin money goin shoppin eatin at the finest restaurants and if im club hoppin she was right thur wit me bottle poppin livin that life livin that life she just didnt understand my lifestyle and that aint life and that aint life all of the jewelry in the world gotcha diamonds gotcha pearls but i cant help it if chingaling be attractin all the girls guess what baby imma superstar and that come wit it gotta good nigga on ya side you betta run wit it even tho im on the road doin shows i made time for me and her relationship to grow grow they tell me dont trust the woman in this industry but she not any woman more like a sacred friend to me cuz when im outta town always think of huurr might conversate wit some chicks but no one come above huurr oh i thought i was ya man guess you aint understand and now im sittin here lookin crazy like damn every time i try to leave something keeps pulling me back me back telling me i need you in my life every time i try to go something keeps telling me that me that everything gon be all right every time i try to leave something keeps pulling me back me back telling me i need you in my life it was meant to be you were meant for me so that means we gotta make it work walked in the house wit hard work my head hurt instead of arguin can i have dinner wit some dessert uhhuhh she talkin bout this phone number she found aint gimme time to put my bags down she straight up clownin straight up clownin before we end up fightin lemme me leave im exhausted and this herree i dont need i dont need now im wit the fellaz ridin and drinkin ridin and drinkin she blowin my twoway up but i need some time for thinkin time for thinkin yeah i wanna go back but sumthin sayin naw naw lemme give her some space and the next day i might call call what should i do look lemme ask yall should i stand tall or let this relationship fall fall i never havin my feelings crushed but it happens sometimes either love it or give it up i thought i was ya man guess you aint understand and now im sittin here lookin crazy like damn every time i try to leave something keeps pulling me back me back telling me i need you in my life every time i try to go something keeps telling me that me that everything gon be all right every time i try to leave something keeps pulling me back me back telling me i need you in my life it was meant to be you were meant for me so that means we gotta make it work chingy holla at em again to all the fellaz know you feel me you ever had a woman good times let the bad times and you aint see it comin tried the best to make her happy happy but it wasnt enough it wasnt enough cuz mama told me in relationships the road get rough road get rough and i aint the one to have my head down weeping stressed out as bad as it hurts i gotta move to the next route route yes i thought i was a man guess she aint understand and now she sittin thurr lookin crazy like damn every time i try to leave something keeps pulling me back me back telling me i need you in my life every time i try to go something keeps telling me that me that everything gon be all right every time i try to leave something keeps pulling me back me back telling me i need you in my life it was meant to be you were meant for me so that means we gotta make it work say we gotta make it work ,1,1,1,Masc & fem reference,"sumthin sayin naw naw lemme give her some space and the next day, feel me you ever had a woman good times let the bad times, of huurr might conversate wit some chicks but no one come above huurr, have dinner wit some dessert uhhuhh she talkin bout this phone number she, ridin and drinkin ridin and drinkin she blowin my twoway up but i, time to put my bags down she straight up clownin straight up clownin, comin tried the best to make her happy happy but it wasnt enough, thought i was a man guess she aint understand and now she sittin, livin that life livin that life she just didnt understand my lifestyle and, if chingaling be attractin all the girls guess what baby imma superstar and, restaurants and if im club hoppin she was right thur wit me bottle, the woman in this industry but she not any woman more like a, i made time for me and her relationship to grow grow they tell","yes i thought i was a man guess she aint understand and now, oh i thought i was ya man guess you aint understand and now, up i thought i was ya man guess you aint understand and now","attractin all the girls guess what baby imma superstar and that come wit, crushed but it happens sometimes either love it or give it up i"
2006,16,Run It!,Chris Brown,man, okay check it check it check it out santana again steppin steppin steppin out one of them brand new big boy toys i do big boy things i make big boy noise cause i know what girls want i know what they like they want to stay up and party all night so bring a friend let me talk to you tell you how it is i was thinkin when i saw that body gotta get shorty tell her what the young boy goin do damn them chicks with you gotta be okay babe pretty thick with a kick thats sick that need to be hit so tell me what yall goin do i got friends and you got friends they hop out and you hop in i look fly and they jockin the way you drop drop makes me wanna pop i got friends and you got friends they hop out and you hop in i look fly and they jockin the way you drop drop makes me wanna pop is yo man on the floor if he aint let me know lemme see if you can run it run it girl indeed i can run it run it is yo man on the floor if he aint let me know lemme see if you can run it run it girl indeed i can run it run it youll see girl i can set you off i dont believe my age gonna slow us down i can definitely show you things to have you saying i cant be 16 once i get in you wont let go and i i have them girls wishin they were you and i i know you heard bout me but guess whats goin down if we leave i got friends and you got friends they hop out and you hop in i look fly and they jockin the way you drop drop makes me wanna pop i got friends and you got friends they hop out and you hop in i look fly and they jockin the way you drop drop makes me wanna pop is yo man on the floor if he aint let me know lemme see if you can run it run it girl indeed i can run it run it is yo man on the floor if he aint let me know lemme see if you can run it run it girl indeed i can run it run it girl you feel right make me feel like i wanna do a little somethin aint no thing lets do it fo sho the way that yo wearin them jeans is turnin me on youre the hottest thing thats in these streets so baby wont you rock wit me make it drop honey make it pop honey whip wop tick tock to the clock fo me dont stop doin that and shorty know what i mean when i tell her so she wont stop doin that plus i heard if you can dance you can bump well dance time is up lets go lets goyup we can get it in we can get some friends do it like he ying yang twins start whisperin wait till you see myhey wait till you see myhey let me fall back you aint ready for all that have you sleep late real late yeah takin them long naps you tell yo friends to get wit my friends we can be friends switch and meet friendsswitch we can do it all night long and until the clock hit mornin ya dig is yo man on the floor if he aint let me know lemme see if you can run it run it girl indeed i can run it run it ,1,1,1,Masc & fem reference,"go and i i have them girls wishin they were you and i, me dont stop doin that and shorty know what i mean when i, you can run it run it girl indeed i can run it run, boy noise cause i know what girls want i know what they like, run it girl indeed i can run it run it, i saw that body gotta get shorty tell her what the young boy","hit mornin ya dig is yo man on the floor if he aint, get some friends do it like he ying yang twins start whisperin wait, one of them brand new big boy toys i do big boy things, shorty tell her what the young boy goin do damn them chicks with, run it run it is yo man on the floor if he aint, makes me wanna pop is yo man on the floor if he aint","chicks with you gotta be okay babe pretty thick with a kick thats, was thinkin when i saw that body gotta get shorty tell her what, thing thats in these streets so baby wont you rock wit me make"
2006,44,Yo (Excuse Me Miss),Chris Brown,man, whoa whoa do do do do do yeah yeah yo tell me fellas have you seen her seen her it was about five minutes ago when i seen the hottest chick that youngn never seen before i said yo tell her girls i want to meet her meet her on a second thought that aint the way to go i got give her game proper spit it so shell get it there she is i got to stop her or should i talk about her smile its been said before or what about her style too obvious im out of time shes out the door i got to go for mine i think ill say yo i dont know your name but excuse me miss i saw you from across the room and i got to admit that you got my attention youre making me want to say yo i know youre tryin to leave but excuse me miss i saved the last dance for you how i love to keep you here with me oh baby now shorty grab hold of my hand and lets pretend the floor is ours you say you dont really dance dont worry about it well just one two step one two step now if the music is moving too fast too fast grab my hand a little tighter tighter dont be afraid to move a little closer girl there is something about you that makes me want to say yo i dont know your name but excuse me miss i saw you from across the room and i got to admit that you got my attention youre making me want to say yo i know youre trying to leave but excuse me miss i saved the last dance for you how i love to keep you here with me oh baby i think ill say yo i dont know your name but excuse me miss i saw you from across the room and i got to admit that you got my attention youre making me want to say yo i know youre trying to leave but excuse me miss i saved the last dance for you how i love to keep you here with me oh baby i want to be where you are aint nothin wrong with dancin baby youre so romantic baby i can be in your heart so many things i want to tell you i think that i should start by saying yo i dont know your name but excuse me miss i saw you from across the room i got to give her game proper spit it so she get it there she is i got to stop her i know your trying to leave but excuse me miss i saved the last dance for you how i love to keep you here with me oh baby now everybody just clap your hands like thislike this just clap your hands like thiswhoo like this and if your shorty in the house tonight just grab her by the hand homie make her understand yall was made to dance like thislike this yall was made to bounce like thiswhoa like this just let her know she was made for you and you want to do everything she want to man whoo ,1,1,1,Masc & fem reference,"afraid to move a little closer girl there is something about you that, she is i got to stop her or should i talk about her, thiswhoo like this and if your shorty in the house tonight just grab, here with me oh baby now shorty grab hold of my hand and, tell me fellas have you seen her seen her it was about five, her by the hand homie make her understand yall was made to dance, she is i got to stop her i know your trying to leave, like thiswhoa like this just let her know she was made for you, you want to do everything she want to man whoo, way to go i got give her game proper spit it so shell, the room i got to give her game proper spit it so she, ago when i seen the hottest chick that youngn never seen before i, been said before or what about her style too obvious im out of, her girls i want to meet her meet her on a second thought",you want to do everything she want to man whoo,"last dance for you how i love to keep you here with me, are aint nothin wrong with dancin baby youre so romantic baby i can"
